PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
508123;Funil Para Ensacadeira - B2L Médio/21mm;https://images.tcdn.com.br/img/img_prod/1265869/funil_para_ensacadeira_b2l_medio_21mm_508123_1_49cd27ea54773a01229e5b39c955c325_20240123154524.jpg;;;;
508077;Funil Para Picador De Carne B10;https://images.tcdn.com.br/img/img_prod/1265869/funil_para_picador_de_carne_b10_508077_1_350a641ff38681fb86404d0027d06f56_20240123154523.jpg;;;;
508091;Funil Para Picador De Carne B22;https://images.tcdn.com.br/img/img_prod/1265869/funil_para_picador_de_carne_b22_508091_1_75a66674e0fa996aa542cd25e1e537a6_20240123154523.jpg;;;;
505777;Funil Plástico Para Máquina Nº10 - Malta;https://images.tcdn.com.br/img/img_prod/1265869/funil_plastico_para_maquina_malta_505777_1_4a19a2552cd9acc55ac6dba975e25c6c_20240123153155.jpg;;;;
505779;Funil Plástico Para Máquina Nº22 - Malta;https://images.tcdn.com.br/img/img_prod/1265869/funil_plastico_para_maquina_no_22_malta_505779_1_4a19a2552cd9acc55ac6dba975e25c6c_20240123153155.jpg;;;;
502815;Furadeira De Impacto 1/2 (13Mm) Velocidade Variável E Reversivel (127V);https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_1_2_13_mm_dwd502br_502815_1_21ea739da6839b8dafb2db8f1680d076_20240123154525.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_1_2_13_mm_dwd502br_502815_2_14e7a84d390103b55798a66e111ed16d_20240123154526.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_1_2_13_mm_dwd502br_502815_3_be3c827aa0beb6c04665e13d0b9a2483_20240123154527.jpg;;
502817;Furadeira De Impacto 1/2 (13Mm) Velocidade Variável E Reversivel (220V);https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_1_2_13_mm_velocidade_variavel_e_reversivel_220v_502817_1_21ea739da6839b8dafb2db8f1680d076_20240123154525.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_1_2_13_mm_velocidade_variavel_e_reversivel_220v_502817_2_14e7a84d390103b55798a66e111ed16d_20240123154526.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_1_2_13_mm_velocidade_variavel_e_reversivel_220v_502817_3_be3c827aa0beb6c04665e13d0b9a2483_20240123154527.jpg;;
502963;Furadeira De Impacto 3/8! (10Mm) 560W (127V) - Black Decker;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_3_8_10mm_560w_127v_black_decker_502963_1_45ac58c9787746d161618471199d3433_20240123154527.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_3_8_10mm_560w_127v_black_decker_502963_2_e6df486e95489535863a775b6f9dd9a2_20240123154528.jpg;;;
502965;Furadeira De Impacto 3/8! (10Mm) 560W (220V) - Black Decker;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_3_8_10mm_560w_220v_black_decker_502965_1_45ac58c9787746d161618471199d3433_20240123154528.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_de_impacto_3_8_10mm_560w_220v_black_decker_502965_2_e6df486e95489535863a775b6f9dd9a2_20240123154529.jpg;;;
502933;Furadeira Imp600W 13Mm (127V) - Stanley;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_imp600w_13mm_127v_stanley_502933_1_b2fe08f14d7399f3fe77a8d49b549d83_20240123154526.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_imp600w_13mm_127v_stanley_502933_2_05a01d9f7589611c8aa21d961d5893d0_20240123154527.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_imp600w_13mm_127v_stanley_502933_3_7d819bd51d70a0324b447ee7f19941a4_20240123154529.jpg;;
502931;Furadeira Imp600W 13Mm (220V) - Stanley;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_imp600w_13mm_220v_stanley_502931_1_7d819bd51d70a0324b447ee7f19941a4_20240123154526.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_imp600w_13mm_220v_stanley_502931_2_05a01d9f7589611c8aa21d961d5893d0_20240123154527.jpg;https://images.tcdn.com.br/img/img_prod/1265869/furadeira_imp600w_13mm_220v_stanley_502931_3_b2fe08f14d7399f3fe77a8d49b549d83_20240123154528.jpg;;
501457;Gaiola Hamster 1 Andar Aramada;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_1_andar_aramada_501457_1_5e8361ef93ee93fdc8e2e5f3a3020012_20240123154449.jpg;;;;
501459;Gaiola Hamster 1 Andar Plast Jelplast;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_1_andar_plast_jelplast_501459_1_252ab8b3048cd6e6436c7ff6d8c9e016_20240123154449.jpg;;;;
501461;Gaiola Hamster 3 And Jg Tubos Luxo Azul;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_3_and_jg_tubos_luxo_azul_501461_1_82df4016bfce8f999349fab20d308de2_20240123154449.jpg;;;;
501463;Gaiola Hamster 3 And Jg Tubos Luxo Verm;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_3_and_jg_tubos_luxo_verm_501463_1_bfd1a96b0cad6c965aaa32bea8f9b7e4_20240123154449.jpg;;;;
501465;Gaiola Hamster Brasil Tubo Luxo Jelplast;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_brasil_tubo_luxo_jelplast_501465_1_c5c5ca1cb100164350a03403b3f8b6a4_20240123154449.jpg;;;;
